timestamp,altitude,heading,vertical_speed,velocity,roll,pitch,yaw,g_force
2026-03-30T13:46:27.351+00:00,1200.000000,90.500000,450.000000,135.200000,2.100000,-1.400000,91.000000,1.030000
2026-03-30T13:46:46.842+00:00,1200.000000,90.500000,450.000000,135.200000,2.100000,-1.400000,91.000000,1.030000
2026-03-30T14:39:03.829+00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,121.649666,0.000000
2026-03-30T14:39:03.833+00:00,0.013337,106.285150,0.005334,0.000000,0.155923,-6.293193,121.649475,1.932879
2026-03-30T14:39:03.834+00:00,0.347863,106.288240,0.788157,0.000000,0.140369,-4.575878,121.648080,0.435510
2026-03-30T14:39:03.834+00:00,0.798432,106.293390,1.314141,-0.000256,0.129535,-3.291285,121.650050,0.697506
2026-03-30T14:39:03.834+00:00,1.245242,106.297720,1.115396,-0.007516,0.115623,-2.571708,121.652500,0.860162
2026-03-30T14:39:03.835+00:00,1.917241,106.302860,-0.102035,-0.029216,0.095219,-1.819118,121.655510,0.990536
2026-03-30T14:39:03.835+00:00,2.469305,106.305970,-1.659993,-0.052781,0.079749,-1.401394,121.657394,1.145624
2026-03-30T14:39:03.835+00:00,3.071664,106.308460,-3.665297,-0.082492,0.045232,-1.084005,121.659035,1.435973
2026-03-30T14:39:03.835+00:00,3.690364,106.310650,-5.617979,-0.116290,0.005293,-0.869967,121.660620,1.347962
2026-03-30T14:39:03.836+00:00,4.316041,106.312600,-7.073899,-0.148418,-0.021622,-0.754442,121.662280,1.095014
2026-03-30T14:39:03.836+00:00,4.948893,106.314370,-7.889042,-0.172969,-0.032868,-0.711589,121.663900,0.887274
2026-03-30T14:39:03.836+00:00,5.561009,106.315710,-8.191920,-0.190400,-0.030986,-0.730325,121.665220,0.831760
2026-03-30T14:39:03.836+00:00,6.145936,106.316376,-8.264019,-0.202113,-0.023603,-0.802671,121.666000,0.886428
2026-03-30T14:39:03.836+00:00,6.751268,106.316185,-8.307700,-0.209790,-0.015966,-0.944329,121.666070,0.976746
2026-03-30T14:39:03.853+00:00,7.334947,106.315140,-8.400042,-0.213436,-0.011068,-1.163961,121.665530,1.029483
2026-03-30T14:39:03.906+00:00,7.879822,106.313576,-8.517936,-0.213849,-0.008949,-1.452140,121.664700,1.029398
2026-03-30T14:39:03.967+00:00,8.410165,106.311640,-8.625099,-0.209632,-0.008163,-1.842754,121.663860,0.998605
2026-03-30T14:39:04.026+00:00,8.903609,106.309670,-8.707192,-0.193512,-0.007752,-2.317615,121.663230,0.969003
2026-03-30T14:39:04.084+00:00,9.389544,106.307750,-8.800662,-0.165825,-0.007058,-2.891572,121.662920,0.956143
2026-03-30T14:39:04.135+00:00,9.837410,106.305244,-8.853311,-0.128510,-0.005283,-3.369159,121.661360,1.299279
2026-03-30T14:39:04.197+00:00,10.255425,106.302340,-8.513449,-0.084521,-0.003695,-3.425170,121.658480,0.747038
2026-03-30T14:39:04.257+00:00,10.647690,106.299590,-7.886490,-0.037883,-0.002216,-3.338499,121.655560,0.740914
2026-03-30T14:39:04.307+00:00,11.007509,106.297360,-7.367621,0.000761,-0.000823,-3.258004,121.653206,0.979848
2026-03-30T14:39:04.376+00:00,11.371202,106.295630,-7.057066,0.033894,0.000924,-3.161667,121.651276,1.110074
2026-03-30T14:39:04.424+00:00,11.701938,106.294550,-6.850871,0.059028,0.002614,-3.049283,121.650020,1.022192
2026-03-30T14:39:04.476+00:00,11.983747,106.294080,-6.647185,0.076740,0.003052,-2.996540,121.649530,0.988787
2026-03-30T14:39:04.534+00:00,12.238585,106.293990,-6.435042,0.089809,0.002926,-3.005486,121.649510,1.030011
2026-03-30T14:39:04.586+00:00,12.468058,106.294140,-6.206135,0.099172,0.002113,-3.026419,121.649760,1.017390
2026-03-30T14:39:04.656+00:00,12.741379,106.294630,-5.851018,0.107322,0.000494,-3.041413,121.650320,0.980276
2026-03-30T14:39:04.716+00:00,12.990355,106.295370,-5.461411,0.111860,-0.001080,-3.049112,121.651115,0.991458
2026-03-30T14:39:04.786+00:00,13.217576,106.296326,-5.078840,0.113560,-0.002565,-3.044856,121.652070,0.998365
2026-03-30T14:39:04.835+00:00,13.372089,106.297080,-4.808701,0.113361,-0.003206,-3.035711,121.652794,1.000169
2026-03-30T14:39:04.896+00:00,13.563496,106.298130,-4.462884,0.111556,-0.003427,-3.026687,121.653820,1.003200
2026-03-30T14:39:04.956+00:00,13.694333,106.298900,-4.217578,0.109306,-0.003688,-3.025116,121.654580,0.998574
2026-03-30T14:39:05.249+00:00,13.853845,106.299880,-3.901883,0.105412,-0.003919,-3.031001,121.655560,1.006171
2026-03-30T14:39:05.250+00:00,13.964315,106.300545,-3.666844,0.101953,-0.004348,-3.036169,121.656250,0.999370
2026-03-30T14:39:05.252+00:00,14.066360,106.301160,-3.434352,0.098185,-0.004502,-3.040819,121.656850,0.995278
2026-03-30T14:39:05.253+00:00,14.160495,106.301670,-3.208389,0.094208,-0.004441,-3.045373,121.657370,0.996859
2026-03-30T14:39:05.254+00:00,14.248509,106.302120,-2.989375,0.090040,-0.004278,-3.048590,121.657790,0.997526
2026-03-30T14:39:05.280+00:00,14.330236,106.302460,-2.780397,0.085770,-0.004161,-3.050146,121.658150,0.997900
2026-03-30T14:39:05.332+00:00,14.415854,106.302750,-2.556378,0.080862,-0.004293,-3.050897,121.658430,0.998624
2026-03-30T14:39:05.401+00:00,14.490459,106.302925,-2.357305,0.076216,-0.003978,-3.051634,121.658585,0.998296
2026-03-30T14:39:05.464+00:00,14.574146,106.303020,-2.128849,0.070567,-0.003363,-3.050837,121.658640,0.997365
2026-03-30T14:39:05.530+00:00,14.642682,106.302990,-1.935709,0.065589,-0.002989,-3.048606,121.658615,0.995296
2026-03-30T14:39:05.581+00:00,14.699411,106.302925,-1.775006,0.061217,-0.002881,-3.048475,121.658516,0.999650
2026-03-30T14:39:05.648+00:00,14.755119,106.302800,-1.617341,0.056686,-0.003095,-3.048666,121.658394,1.000326
2026-03-30T14:39:05.714+00:00,14.807180,106.302620,-1.467016,0.052227,-0.003766,-3.048757,121.658230,0.997934
2026-03-30T14:39:05.766+00:00,14.850970,106.302460,-1.337645,0.048302,-0.004278,-3.049384,121.658050,0.998160
2026-03-30T14:39:05.831+00:00,14.891762,106.302270,-1.215324,0.044492,-0.004524,-3.050115,121.657860,0.998708
2026-03-30T14:39:05.897+00:00,14.930702,106.302060,-1.096881,0.040709,-0.004569,-3.050346,121.657646,0.999269
2026-03-30T14:39:05.947+00:00,14.961330,106.301870,-1.002051,0.037629,-0.004084,-3.050418,121.657460,0.998140
2026-03-30T14:39:05.997+00:00,14.991083,106.301680,-0.908338,0.034541,-0.003381,-3.050782,121.657290,0.998272
2026-03-30T14:39:06.080+00:00,15.019831,106.301506,-0.816871,0.031463,-0.002912,-3.051232,121.657110,0.998687
2026-03-30T14:39:06.130+00:00,15.042840,106.301384,-0.743049,0.028929,-0.002747,-3.051438,121.656990,0.998564
2026-03-30T14:39:06.181+00:00,15.065472,106.301285,-0.669798,0.026371,-0.002805,-3.051483,121.656906,0.998463
2026-03-30T14:39:06.280+00:00,15.083383,106.301216,-0.611445,0.024298,-0.002913,-3.051546,121.656840,0.998585
2026-03-30T14:39:06.330+00:00,15.109042,106.301150,-0.527298,0.021242,-0.003039,-3.051722,121.656770,0.998646
2026-03-30T14:39:06.397+00:00,15.122189,106.301120,-0.483880,0.019640,-0.003072,-3.051840,121.656750,0.998591
2026-03-30T14:39:06.465+00:00,15.134501,106.301120,-0.442929,0.018113,-0.003080,-3.051983,121.656750,0.998574
